algorithm,train_size,split,vocab_size,avg_tokens_per_sentence,fertility_tokens_per_word,chars_per_token,pct_words_split_multi_token,unk_rate_pct
BPE,100000,dev,30000,21.385,1.1733882030178326,4.320364741641337,13.333333333333334,0.004676174888940846
BPE,100000,test,30000,20.89,1.1643072121279678,4.3373863092388705,12.924980492698696,0.014360938247965534
WordPiece,100000,dev,30000,21.566,1.1833196159122086,4.284104609106928,13.777777777777779,0.004636928498562553
WordPiece,100000,test,30000,21.041,1.1727232192620667,4.306259208212538,13.203656225615873,0.014257877477306212
BPE,300000,dev,30000,21.313,1.1694375857338821,4.334959883639094,13.0480109739369,0.0
BPE,300000,test,30000,20.832,1.1610745736261285,4.349462365591398,12.690892877048267,0.004800307219662059
WordPiece,300000,dev,30000,21.497,1.1795336076817557,4.297855514722984,13.481481481481481,0.0
WordPiece,300000,test,30000,21.026,1.1718871920633152,4.309331304099686,13.108906476424034,0.004756016360696281
BPE,500000,dev,30000,21.299,1.1686694101508917,4.337809286820978,13.020576131687243,0.0
BPE,500000,test,30000,20.831,1.1610188384795452,4.349671163170275,12.702039906364954,0.004800537660217944
WordPiece,500000,dev,30000,21.5,1.1796982167352539,4.297255813953488,13.470507544581618,0.0
WordPiece,500000,test,30000,21.023,1.1717199866235648,4.309946249345955,13.108906476424034,0.004756695048280454
BPE,1000000,dev,30000,21.314,1.1694924554183814,4.3347564980763815,13.064471879286694,0.0
BPE,1000000,test,30000,20.842,1.161631925091963,4.347375491795413,12.707613421023296,0.004798004030323385
WordPiece,1000000,dev,30000,21.51,1.180246913580247,4.295258019525802,13.541838134430726,0.0
WordPiece,1000000,test,30000,21.054,1.1734477761676514,4.303600265982711,13.175788652324156,0.004749691270067445
