algorithm,vocab_size_target,split,vocab_size,avg_tokens_per_sentence,fertility_tokens_per_word,chars_per_token,pct_words_split_multi_token,unk_rate_pct
BPE,20000,dev,20000,21.866,1.1997805212620027,4.225326991676575,14.87517146776406,0.0
BPE,20000,test,20000,21.385,1.1918961096867684,4.236988543371522,14.485564597034891,0.004676174888940846
WordPiece,20000,dev,20000,22.213,1.2188203017832648,4.15932111826408,15.76954732510288,0.0
WordPiece,20000,test,20000,21.73,1.2111247352580536,4.169719282098481,15.321591795786423,0.004601932811780948
BPE,30000,dev,30000,21.314,1.1694924554183814,4.3347564980763815,13.064471879286694,0.0
BPE,30000,test,30000,20.842,1.161631925091963,4.347375491795413,12.707613421023296,0.004798004030323385
WordPiece,30000,dev,30000,21.51,1.180246913580247,4.295258019525802,13.541838134430726,0.0
WordPiece,30000,test,30000,21.054,1.1734477761676514,4.303600265982711,13.175788652324156,0.004749691270067445
BPE,50000,dev,50000,20.849,1.1439780521262002,4.431435560458535,11.49519890260631,0.0
BPE,50000,test,50000,20.416,1.1378887526474195,4.4380877742946705,11.303087727120722,0.004898119122257054
WordPiece,50000,dev,50000,20.953,1.1496844993141289,4.4094401756311745,11.698216735253773,0.0
WordPiece,50000,test,50000,20.517,1.1435180024523464,4.416240191061071,11.498160740162747,0.004874006921089828
